127.0.0.1 - - [30/Dec/2025:10:00:36 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:00:36 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:00:36 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:03:15 +0900] "GET /HTML01/08_0_table.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:12:50 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:12:52 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:13:18 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:13:33 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:14:15 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:15:29 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:15:42 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:15:56 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:15:59 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:16:07 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 830
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:17:18 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:17:19 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:17:20 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:17:31 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:18:08 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 878
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:19:18 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 891
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:19:19 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:23:48 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:24:40 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 893
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:25:30 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:25:31 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2025:10:25:55 +0900] "GET /HTML01/08_1_table2.html HTTP/1.1" 200 994
0:0:0:0:0:0:0:1 - - [30/Dec/2025:11:32:59 +0900] "GET /HTML01/HelloWorld.html HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [30/Dec/2025:11:33:00 +0900] "GET /HTML01/09_img.html HTTP/1.1" 200 179
