127.0.0.1 - - [22/Jan/2026:09:29:33 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/css/slideShow.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/js/subMenu.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/js/jquery-3.7.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/prevButton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/slide_img_01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/slide_img_04.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/nextButton.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/slide_img_02.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/slide_img_03.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/slide_img_05.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /projectEz1/image/controlButton1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:29:37 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:47 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:09:39:47 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:12:20 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:12:20 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 200 1586
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:12:23 +0900] "GET /projectEz1/image/controlButton2.png HTTP/1.1" 200 2906
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:12:50 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:12:50 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/index.html HTTP/1.1" 200 5434
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab1.png HTTP/1.1" 200 4349
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab2.png HTTP/1.1" 200 4676
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab3.png HTTP/1.1" 200 4731
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab4.png HTTP/1.1" 200 4506
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab_img_02.jpg HTTP/1.1" 200 319401
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab_img_03.jpg HTTP/1.1" 200 353887
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab_img_04.jpg HTTP/1.1" 200 212522
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/tab_img_01.jpg HTTP/1.1" 200 140412
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/prd01.jpg HTTP/1.1" 200 11900
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/prd02.jpg HTTP/1.1" 200 11880
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/prd03.jpg HTTP/1.1" 200 10440
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/prd04.jpg HTTP/1.1" 200 17567
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/prd05.jpg HTTP/1.1" 200 12828
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:19:37 +0900] "GET /projectEz1/image/prd06.jpg HTTP/1.1" 200 15388
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:40:22 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:40:22 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:40:24 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:40:31 +0900] "GET /projectEz1/index.html HTTP/1.1" 200 5487
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:40:32 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:40:39 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:49:23 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:49:23 +0900] "GET /projectEz1/js/slideShow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:49:24 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:49:24 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jan/2026:10:49:25 +0900] "GET /projectEz1/index.html HTTP/1.1" 304 -
